ms_since_boot,temp_C,press_Pa
603049,25.94,1415.07
603860,25.94,1415.03
604672,25.94,1415.09
605483,25.94,1415.04
606294,25.94,1415.05
607106,25.94,1415.05
607917,25.94,1415.01
608728,25.94,1415.07
609540,25.94,1415.02
610351,25.94,1414.98
611162,25.94,1415.02
611974,25.94,1415.04
612783,25.94,1415.02
613594,25.94,1414.98
614406,25.94,1414.99
615217,25.94,1415.02
616029,25.94,1414.98
616841,25.94,1414.97
617652,25.94,1414.95
618464,25.94,1415.02
619275,25.94,1414.96
620087,25.94,1415.03
620898,25.94,1414.99
621710,25.94,1414.98
622522,25.94,1414.94
623333,25.94,1414.97
624145,25.94,1414.96
624956,25.94,1414.99
625768,25.94,1414.97
626580,25.94,1414.90
627391,25.94,1414.96
628203,25.94,1414.92
629014,25.94,1414.95
629826,25.94,1414.93
630638,25.94,1414.96
631453,25.94,1414.95
632264,25.94,1414.93
633076,25.94,1414.93
633888,25.94,1414.92
634699,25.94,1414.92
635511,25.94,1414.93
636322,25.94,1414.92
637134,25.94,1414.93
637946,25.87,1414.90
638757,25.94,1414.90
639569,25.94,1414.87
640381,25.87,1414.90
641192,25.87,1414.89
642004,25.94,1414.90
642816,25.94,1414.89
643627,25.87,1414.89
644439,25.87,1414.89
645251,25.94,1414.89
646062,25.87,1414.86
646874,25.87,1414.84
647686,25.87,1414.88
648497,25.87,1414.85
649309,25.87,1414.86
650124,25.87,1414.82
650936,25.87,1414.87
651747,25.87,1414.87
652559,25.87,1414.87
653371,25.87,1414.82
654182,25.87,1414.83
654994,25.87,1414.81
655806,25.87,1414.81
656617,25.87,1414.79
657429,25.87,1414.83
658241,25.87,1414.80
659052,25.87,1414.81
659864,25.87,1414.84
660676,25.87,1414.79
661487,25.87,1414.78
662299,25.87,1414.79
663111,25.87,1414.81
663922,25.87,1414.81
664734,25.87,1414.81
665546,25.87,1414.79
666357,25.87,1414.77
667169,25.87,1414.79
667981,25.87,1414.79
668796,25.87,1414.77
669608,25.87,1414.78
670419,25.87,1414.72
671231,25.87,1414.76
672043,25.87,1414.80
672854,25.87,1414.74
673666,25.87,1414.77
674477,25.87,1414.73
675289,25.87,1414.72
676101,25.87,1414.77
676912,25.87,1414.73
677724,25.87,1414.70
678536,25.87,1414.73
679347,25.87,1414.73
680159,25.87,1414.70
680971,25.87,1414.68
681782,25.81,1414.70
682594,25.87,1414.73
683406,25.87,1414.70
684217,25.87,1414.70
685029,25.81,1414.72
685841,25.87,1414.69
686652,25.87,1414.67
687464,25.87,1414.70
688279,25.87,1414.70
