ms_since_boot,temp_C,press_Pa # long run op 4 sept
3858042,24.87,1411.55
3858853,24.94,1411.58
3859665,24.87,1411.52
3860476,24.87,1411.58
3861290,24.87,1411.60
3862101,24.87,1411.61
3862912,24.87,1411.55
3863723,24.87,1411.55
3864534,24.87,1411.62
3865345,24.87,1411.57
3866157,24.87,1411.58
3866968,24.87,1411.56
3867779,24.87,1411.54
3868590,24.87,1411.57
3869401,24.87,1411.58
3870212,24.87,1411.56
3871023,24.87,1411.54
3871835,24.87,1411.55
3872646,24.87,1411.59
3873457,24.87,1411.60
3874268,24.87,1411.60
3875079,24.87,1411.59
3875890,24.87,1411.58
3876701,24.87,1411.58
3877513,24.87,1411.57
3878324,24.87,1411.56
3879138,24.87,1411.56
3879949,24.87,1411.60
3880760,24.87,1411.56
3881572,24.87,1411.52
3882383,24.87,1411.56
3883194,24.87,1411.63
3884005,24.87,1411.52
3884816,24.87,1411.59
3885627,24.87,1411.59
3886439,24.87,1411.57
3887250,24.87,1411.58
3888061,24.87,1411.61
3888872,24.87,1411.60
3889683,24.87,1411.56
3890494,24.87,1411.58
3891306,24.87,1411.60
3892117,24.87,1411.59
3892928,24.87,1411.59
3893739,24.87,1411.58
3894550,24.87,1411.60
3895361,24.87,1411.55
3896173,24.87,1411.55
3896984,24.87,1411.59
3897798,24.87,1411.54
3898609,24.87,1411.56
3899420,24.87,1411.58
3900232,24.87,1411.55
3901043,24.87,1411.54
3901854,24.87,1411.57
3902665,24.87,1411.59
3903476,24.87,1411.54
3904287,24.87,1411.58
3905099,24.87,1411.58
3905910,24.87,1411.54
3906721,24.87,1411.56
3907532,24.87,1411.59
3908343,24.87,1411.63
3909154,24.87,1411.55
3909966,24.87,1411.58
3910777,24.87,1411.54
3911588,24.87,1411.54
3912399,24.87,1411.55
3913210,24.87,1411.56
3914021,24.87,1411.55
3914833,24.87,1411.57
3915647,24.87,1411.54
3916458,24.87,1411.57
3917269,24.87,1411.57
3918080,24.87,1411.56
3918892,24.87,1411.56
3919703,24.87,1411.58
3920514,24.87,1411.55
3921325,24.87,1411.52
3922136,24.87,1411.54
3922947,24.87,1411.56
3923759,24.87,1411.60
3924570,24.87,1411.56
3925381,24.87,1411.55
3926192,24.87,1411.56
3927003,24.87,1411.57
3927814,24.87,1411.58
3928626,24.87,1411.59
3929437,24.87,1411.60
3930248,24.87,1411.56
3931059,24.87,1411.58
3931870,24.87,1411.59
3932681,24.87,1411.56
3933496,24.87,1411.52
3934307,24.87,1411.55
3935118,24.87,1411.55
3935929,24.87,1411.56
3936740,24.87,1411.59
3937551,24.87,1411.54
3938362,24.94,1411.58
3939173,24.87,1411.56
3939984,24.87,1411.60
3940795,24.87,1411.58
3941606,24.87,1411.57
3942417,24.87,1411.54
3943228,24.87,1411.58
3944039,24.87,1411.57
3944850,24.87,1411.56
3945661,24.87,1411.56
3946472,24.87,1411.60
3947283,24.87,1411.56
3948094,24.87,1411.54
3948905,24.87,1411.56
3949716,24.87,1411.56
3950527,24.87,1411.60
3951341,24.87,1411.59
3952153,24.87,1411.56
3952964,24.87,1411.58
3953775,24.87,1411.57
3954586,24.87,1411.55
3955398,24.87,1411.54
3956209,24.87,1411.56
3957020,24.87,1411.57
3957832,24.87,1411.54
3958643,24.87,1411.58
3959454,24.87,1411.55
3960266,24.87,1411.54
3961077,24.87,1411.60
3961888,24.87,1411.56
3962700,24.87,1411.57
3963511,24.87,1411.58
3964322,24.87,1411.54
3965134,24.87,1411.61
3965945,24.87,1411.55
3966756,24.87,1411.58
3967567,24.87,1411.58
3968379,24.87,1411.54
3969190,24.87,1411.55
3970004,24.87,1411.51
3970816,24.87,1411.55
3971627,24.87,1411.55
3972438,24.87,1411.54
3973250,24.87,1411.56
3974061,24.87,1411.60
3974873,24.87,1411.57
3975684,24.87,1411.56
3976495,24.87,1411.57
3977307,24.87,1411.56
3978118,24.87,1411.58
3978930,24.87,1411.56
3979741,24.87,1411.60
3980552,24.87,1411.55
3981364,24.87,1411.57
3982175,24.87,1411.54
3982987,24.87,1411.57
3983798,24.87,1411.57
3984609,24.87,1411.55
3985421,24.87,1411.60
3986232,24.87,1411.58
3987044,24.87,1411.56
3987858,24.87,1411.56
3988670,24.87,1411.57
3989481,24.87,1411.54
3990293,24.87,1411.54
3991104,24.87,1411.52
3991915,24.87,1411.59
3992727,24.87,1411.54
3993538,24.87,1411.56
3994349,24.87,1411.58
3995161,24.87,1411.56
3995972,24.87,1411.56
3996783,24.87,1411.56
3997595,24.87,1411.54
3998406,24.87,1411.58
3999217,24.87,1411.54
4000029,24.87,1411.56
4000840,24.87,1411.58
4001651,24.87,1411.51
4002463,24.87,1411.55
4003274,24.87,1411.58
4004085,24.87,1411.58
4004897,24.87,1411.58
4005711,24.87,1411.55
4006523,24.87,1411.54
4007334,24.87,1411.55
4008146,24.87,1411.56
4008957,24.87,1411.56
4009768,24.87,1411.56
4010580,24.87,1411.57
4011391,24.87,1411.55
4012202,24.87,1411.56
4013014,24.87,1411.57
4013825,24.87,1411.55
4014637,24.87,1411.56
4015448,24.87,1411.59
4016259,24.87,1411.58
4017071,24.87,1411.51
4017882,24.87,1411.57
4018693,24.87,1411.55
4019505,24.87,1411.57
4020316,24.87,1411.57
4021127,24.87,1411.56
4021939,24.87,1411.55
4022750,24.87,1411.54
4023565,24.87,1411.59
4024376,24.87,1411.56
4025188,24.87,1411.54
4025999,24.87,1411.56
4026811,24.87,1411.57
4027622,24.87,1411.56
4028433,24.87,1411.54
4029245,24.87,1411.59
4030056,24.87,1411.53
4030867,24.87,1411.58
4031679,24.87,1411.55
4032490,24.87,1411.56
4033302,24.87,1411.55
4034113,24.87,1411.54
4034924,24.87,1411.53
4035736,24.87,1411.56
4036547,24.87,1411.57
4037359,24.87,1411.53
4038170,24.87,1411.54
4038981,24.87,1411.56
4039793,24.87,1411.57
4040604,24.87,1411.52
4041416,24.87,1411.55
4042230,24.87,1411.54
4043042,24.87,1411.54
4043853,24.87,1411.59
4044665,24.87,1411.52
4045476,24.87,1411.56
4046287,24.87,1411.52
4047099,24.87,1411.52
4047910,24.87,1411.53
4048722,24.87,1411.55
4049533,24.87,1411.57
4050344,24.87,1411.54
4051156,24.87,1411.56
4051967,24.87,1411.54
4052779,24.87,1411.53
4053590,24.87,1411.52
4054401,24.87,1411.54
4055213,24.87,1411.54
4056024,24.87,1411.51
4056836,24.87,1411.57
4057647,24.87,1411.58
4058458,24.87,1411.54
4059270,24.87,1411.52
4060085,24.87,1411.55
4060896,24.87,1411.53
4061707,24.87,1411.52
4062519,24.87,1411.55
4063330,24.87,1411.57
4064142,24.87,1411.54
4064953,24.87,1411.52
4065764,24.87,1411.58
4066576,24.87,1411.53
4067387,24.87,1411.51
4068199,24.87,1411.54
4069010,24.87,1411.55
4069821,24.87,1411.53
4070633,24.87,1411.56
4071444,24.87,1411.58
4072256,24.87,1411.54
4073067,24.87,1411.53
4073878,24.87,1411.56
4074690,24.87,1411.53
4075501,24.87,1411.56
4076313,24.87,1411.52
4077124,24.87,1411.54
4077939,24.87,1411.51
4078750,24.87,1411.51
4079561,24.87,1411.59
4080373,24.87,1411.55
4081184,24.87,1411.52
4081995,24.87,1411.53
4082807,24.87,1411.56
4083618,24.87,1411.56
4084429,24.87,1411.58
4085241,24.87,1411.52
4086052,24.87,1411.55
4086863,24.87,1411.56
4087675,24.87,1411.52
4088486,24.87,1411.51
4089297,24.87,1411.56
4090109,24.87,1411.54
4090920,24.87,1411.52
4091731,24.87,1411.53
4092542,24.87,1411.54
4093354,24.87,1411.53
4094165,24.87,1411.55
4094976,24.87,1411.56
4095791,24.87,1411.52
4096602,24.87,1411.55
4097414,24.87,1411.53
4098225,24.87,1411.55
4099037,24.87,1411.55
4099848,24.87,1411.54
4100660,24.87,1411.55
4101471,24.87,1411.50
4102283,24.87,1411.56
4103094,24.87,1411.53
4103906,24.87,1411.55
4104717,24.87,1411.49
4105529,24.87,1411.51
4106341,24.87,1411.57
4107152,24.87,1411.46
4107964,24.87,1411.53
4108775,24.87,1411.54
4109587,24.87,1411.49
4110398,24.87,1411.55
4111210,24.87,1411.53
4112022,24.87,1411.49
4112833,24.87,1411.56
4113645,24.87,1411.52
4114460,24.87,1411.54
4115271,24.87,1411.54
4116083,24.87,1411.57
4116895,24.87,1411.50
4117706,24.87,1411.57
4118518,24.87,1411.52
4119329,24.87,1411.53
4120141,24.87,1411.55
4120953,24.87,1411.55
4121764,24.87,1411.51
4122576,24.87,1411.53
4123387,24.87,1411.52
4124199,24.87,1411.48
4125011,24.87,1411.55
4125822,24.87,1411.57
4126634,24.87,1411.54
4127445,24.87,1411.52
4128257,24.87,1411.54
4129069,24.87,1411.51
4129880,24.87,1411.52
4130692,24.87,1411.48
4131504,24.87,1411.52
4132319,24.87,1411.53
4133131,24.87,1411.54
4133942,24.87,1411.56
4134754,24.87,1411.54
4135566,24.87,1411.57
4136377,24.87,1411.55
4137189,24.87,1411.55
4138001,24.87,1411.48
4138812,24.87,1411.47
4139624,24.87,1411.53
4140436,24.87,1411.54
4141247,24.87,1411.50
4142059,24.87,1411.52
4142871,24.87,1411.53
4143682,24.87,1411.48
4144494,24.87,1411.55
4145306,24.87,1411.56
4146117,24.87,1411.53
4146929,24.87,1411.52
4147741,24.87,1411.56
4148552,24.87,1411.54
4149364,24.87,1411.53
4150179,24.87,1411.45
4150990,24.87,1411.50
4151802,24.87,1411.52
4152614,24.87,1411.49
4153425,24.87,1411.53
4154237,24.87,1411.55
4155048,24.87,1411.52
4155860,24.87,1411.49
4156671,24.87,1411.52
4157483,24.87,1411.51
4158295,24.87,1411.50
4159106,24.87,1411.52
4159918,24.87,1411.51
4160730,24.87,1411.51
4161541,24.87,1411.53
4162353,24.87,1411.52
4163165,24.87,1411.53
4163976,24.87,1411.52
4164788,24.87,1411.49
4165600,24.87,1411.52
4166411,24.87,1411.50
4167223,24.87,1411.53
4168038,24.87,1411.49
4168850,24.87,1411.54
4169661,24.87,1411.51
4170473,24.87,1411.50
4171284,24.87,1411.48
4172096,24.87,1411.50
4172908,24.87,1411.55
4173719,24.87,1411.52
4174531,24.87,1411.52
4175343,24.87,1411.52
4176154,24.87,1411.48
4176966,24.87,1411.47
4177778,24.87,1411.49
4178589,24.87,1411.50
4179401,24.87,1411.47
4180212,24.87,1411.54
4181024,24.87,1411.51
4181836,24.87,1411.48
4182647,24.87,1411.51
4183459,24.87,1411.50
4184271,24.87,1411.48
4185082,24.87,1411.49
4185894,24.87,1411.50
4186709,24.87,1411.52
4187521,24.87,1411.50
4188333,24.87,1411.48
4189144,24.87,1411.46
4189956,24.87,1411.50
4190768,24.87,1411.51
4191579,24.87,1411.45
4192391,24.87,1411.51
4193203,24.87,1411.48
4194014,24.87,1411.48
4194826,24.87,1411.52
4195638,24.87,1411.54
4196449,24.87,1411.52
4197261,24.87,1411.52
4198073,24.87,1411.47
4198884,24.87,1411.50
4199696,24.87,1411.50
4200508,24.87,1411.52
4201319,24.87,1411.59
4202131,24.87,1411.48
4202943,24.87,1411.50
4203754,24.87,1411.40
4204569,24.87,1411.47
4205381,24.87,1411.53
4206193,24.87,1411.48
4207004,24.87,1411.50
4207816,24.87,1411.50
4208628,24.87,1411.49
4209439,24.87,1411.49
4210251,24.87,1411.51
4211063,24.87,1411.48
4211874,24.87,1411.48
4212686,24.87,1411.51
4213498,24.87,1411.52
4214309,24.87,1411.47
4215121,24.87,1411.51
4215933,24.87,1411.50
4216744,24.87,1411.47
4217556,24.87,1411.49
4218368,24.87,1411.49
4219179,24.87,1411.44
4219991,24.87,1411.45
4220803,24.87,1411.52
4221614,24.87,1411.50
4222430,24.87,1411.47
4223241,24.87,1411.48
4224053,24.87,1411.51
4224864,24.87,1411.49
4225676,24.87,1411.46
4226487,24.87,1411.46
4227299,24.87,1411.54
4228111,24.87,1411.45
4228922,24.87,1411.48
4229734,24.87,1411.48
4230545,24.87,1411.52
4231357,24.87,1411.51
4232169,24.87,1411.49
4232980,24.87,1411.51
4233792,24.87,1411.45
4234603,24.87,1411.48
4235415,24.87,1411.47
4236227,24.87,1411.49
4237038,24.87,1411.46
4237850,24.87,1411.46
4238661,24.87,1411.51
4239473,24.87,1411.53
4240285,24.87,1411.47
4241094,24.87,1411.46
4241904,24.87,1411.43
4242723,24.87,1411.49
4243534,24.87,1411.47
4244344,24.87,1411.50
4245154,24.87,1411.46
4245965,24.87,1411.51
4246775,24.87,1411.52
4247586,24.87,1411.46
4248396,24.87,1411.53
4249207,24.87,1411.47
4250017,24.87,1411.54
4250827,24.87,1411.47
4251638,24.87,1411.47
4252448,24.87,1411.48
4253259,24.87,1411.49
4254069,24.87,1411.49
4254879,24.87,1411.49
4255690,24.87,1411.51
4256500,24.87,1411.50
4257311,24.87,1411.48
4258121,24.87,1411.48
4258934,24.81,1253.26
4259745,24.62,1010.58
4260556,24.37,1031.92
4261366,24.25,1063.79
